epoch,train_loss,valid_loss,foreground_acc,dice_multi,jaccard_coeff_multi
1,0.7826219201087952,0.46127963066101074,0.14123235642910004,0.33955436295370345,0.270930688689908
2,0.6063783764839172,0.708437442779541,0.18858587741851807,0.38079725716647733,0.3037498655159463
3,0.482521116733551,1.1718419790267944,0.19430500268936157,0.37512757464622126,0.29741628036508444
4,0.38973045349121094,4.187215328216553,0.37317371368408203,0.357179005953205,0.2605605917362211
5,0.32691890001296997,0.9298820495605469,0.18394941091537476,0.42347178336082786,0.35150939607891224
6,0.2802742123603821,0.14147740602493286,0.5680680274963379,0.6090330118395558,0.4986008253816445
7,0.2436135858297348,0.3936527967453003,0.44510695338249207,0.6063863336354319,0.48213113453568995
8,0.21793825924396515,5.290904998779297,0.018474411219358444,0.3368495720515492,0.3009836705038694
9,0.19478560984134674,0.12414862960577011,0.43178242444992065,0.6107769509644727,0.491231343412951
10,0.17939622700214386,0.255007803440094,0.8521578907966614,0.5233924857491533,0.3923859800058895
11,0.1654360592365265,0.12424181401729584,0.7427646517753601,0.6309918064715275,0.49913961507341287
12,0.15289656817913055,0.0803353562951088,0.5809438824653625,0.7177745077284966,0.5921889064046638
13,0.1419760137796402,0.07923617213964462,0.5118992328643799,0.7041663369500003,0.5787993453368528
14,0.1327943652868271,0.07355500757694244,0.6635697484016418,0.7380472860210648,0.6147820500233646
15,0.12508942186832428,0.07664263248443604,0.6605985760688782,0.7357153586726417,0.6109241345000701
16,0.11885923147201538,0.07753804326057434,0.5905918478965759,0.7244096699522263,0.598098774556601
17,0.11504753679037094,0.16472235321998596,0.38182830810546875,0.6560466839591136,0.529222067392158
18,0.11132190376520157,0.08776765316724777,0.593214750289917,0.6944871986352957,0.5695397758210126
19,0.10850267112255096,0.0774121955037117,0.5935942530632019,0.7248494153350254,0.5985124403376565
20,0.10552100092172623,0.07638977468013763,0.45719924569129944,0.6954267097392147,0.5674860845235429
21,0.1021549254655838,0.07228943705558777,0.5954381227493286,0.7373154570327426,0.6124103870904946
22,0.09893426299095154,0.06864307820796967,0.6429992318153381,0.7502013887416735,0.6279384883976206
23,0.09629538655281067,0.07146314531564713,0.506869912147522,0.7190760013018368,0.5915272208160353
24,0.09492860734462738,0.09334902465343475,0.6198973059654236,0.6832087537665541,0.5517156588299971
25,0.09237077832221985,0.07158369570970535,0.661596417427063,0.7378230064979722,0.6135082082289863
26,0.0902317464351654,0.06961876153945923,0.6476624608039856,0.7272038425012365,0.6053801608699604
27,0.0878741517663002,0.06376247853040695,0.6304359436035156,0.7454270582696131,0.6234136770458827
28,0.08574891835451126,0.06243056058883667,0.5630208253860474,0.7456267187079287,0.6215583079812131
29,0.08455699682235718,0.06204511970281601,0.6122785210609436,0.752661582861216,0.6310971303125844
30,0.08277929574251175,0.06085207313299179,0.6899375319480896,0.7697000402249673,0.6510001908701413
31,0.08134341239929199,0.059476181864738464,0.6569398641586304,0.758973240837566,0.6385416272171267
32,0.07986834645271301,0.0595211386680603,0.681628942489624,0.770564163887482,0.6527027479880196
33,0.07763563096523285,0.06194711849093437,0.748249351978302,0.7752019613817694,0.6575975556390784
34,0.07651174813508987,0.06500082463026047,0.7797558903694153,0.7623539146741729,0.6408819022709805
35,0.07619130611419678,0.06378733366727829,0.6033136248588562,0.7504553093955106,0.628597122954931
36,0.07625728845596313,0.06409050524234772,0.7294178009033203,0.7723845396757408,0.6545575860235674
37,0.07501529157161713,0.061869166791439056,0.7505709528923035,0.7778341664625429,0.6600612073810641
38,0.07347150146961212,0.057907503098249435,0.7330921292304993,0.785567495828993,0.670908950624835
39,0.07167596369981766,0.05782958120107651,0.7636833786964417,0.7841395738659171,0.6693163687353909
40,0.07049877196550369,0.05593562126159668,0.7521424889564514,0.7854639950811734,0.6711953314957192
41,0.06870769709348679,0.05588304251432419,0.7214016318321228,0.7840183240306269,0.6693213894498445
42,0.06695199757814407,0.054942041635513306,0.7104165554046631,0.7855321832677292,0.670926769531819
43,0.06595078110694885,0.05422864481806755,0.7394563555717468,0.7929753600574879,0.680301994132352
44,0.06531785428524017,0.05380164086818695,0.7393046021461487,0.7943427803378554,0.6822539636870569
45,0.06431971490383148,0.05361221358180046,0.7568525671958923,0.7964563737255587,0.684976405911375
46,0.06346771866083145,0.05365089327096939,0.7639757990837097,0.7970838975874449,0.6856633200509686
47,0.06248864158987999,0.053793709725141525,0.7625851035118103,0.796540521381729,0.6849623752877138
48,0.062972292304039,0.053903840482234955,0.7645450830459595,0.7965128450175517,0.6848330644954963
49,0.06203140690922737,0.05386597663164139,0.7668264508247375,0.7959572795261748,0.6841855727751988
50,0.06173165515065193,0.054049812257289886,0.7726438045501709,0.7955650482545001,0.6836186349574302
